the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-73.93215352542985 40.68488444671566),Bridge St. Head Start,281,STUYVESANT AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3045801,3016560004,Brooklyn
POINT (-73.87811886156248 40.6721889664787),Urban Strategies Dcc #1,1091,SUTTER AVENUE,11208,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3089620,3040390001,Brooklyn
POINT (-73.98072918981661 40.68574093176986),Ywca Montessori Day School,30,THIRD AVENUE,11217,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3000753,3001790027,Brooklyn
POINT (-73.93021343842138 40.64650692775039),Children's Colony Nursery School,1080,UTICA AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3349019,3047340032,Brooklyn
POINT (-73.93050026841821 40.64968285200571),Kiddie's Corner Day Care Center,952,UTICA AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3103715,3047210012,Brooklyn
POINT (-73.93535863358515 40.69557281996069),"Metropolitan Child Services, Inc. Llc Vernoh Ave Children's School",386,VERNON AVENUE,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,3015890035,Brooklyn
POINT (-73.91003612778235 40.74649599320099),Rainbowland Nursery School,39-60,54 STREET,11377,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4028427,4012380040,Woodside
POINT (-73.90316119682723 40.74705998335768),Woodside Montessori Pre-K,39-04,61 STREET,11377,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4028327,4012290090,Woodside
POINT (-73.8921417667915 40.73036706525164),Maspeth Townhall Pre-Sch,53-37,72 STREET,11378,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4058706,4025060015,Maspeth
POINT (-73.99667032925232 40.573903538532626),Avalon Academy Coney Island,2929,WEST 31 STREET,11224,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,3070500001,Brooklyn
POINT (-73.9228504134581 40.66184532841861),Traditional Day Care,1112,WINTHROP STREET,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3100654,3046310007,Brooklyn
POINT (-73.98348992428072 40.74845551426779),Gsu Child Development/Kearning Center,365,5 AVENUE,10016,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1017097,1008647502,New York
POINT (-73.92723665649848 40.85435235026155),Isabella Child Day Care Center,515,AUDUBON AVENUE,10040,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063861,1021600001,New York
POINT (-73.97570425906554 40.72334736743063),C.P.C. Jacob Rii Ccc,108,AVENUE D,10009,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077507,1003620001,New York
POINT (-73.97961709196781 40.68864950343722),Project Chance Mcmurray Nursery I/T,44,ROCKWELL PLACE,11217,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3058596,3020940035,Brooklyn
POINT (-73.91493442404716 40.80544120601816),Hunts Point Head Start,235,CYPRESS AVENUE,10454,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2003611,2025500038,Bronx
POINT (-73.95511594835808 40.714572244965524),Early Intervention Ctr Of Bklyn Inc.,70,HAVEMEYER STREET,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3062268,3023380027,Brooklyn
POINT (-74.00068140608946 40.614196356009046),Kind Start Pre-School,7702,NEW UTRECHT AVENUE,11214,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3161386,3062470026,Brooklyn
POINT (-73.75498297784098 40.66509911208254),"Mona Prep Day Care, Inc.",144-14,223 STREET,11413,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,,Springfield Gardens
POINT (-73.90634582662423 40.86215818926823),St. Dominic's Torch,2340,ANDREWS AVENUE,10468,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2094684,2032180035,Bronx
POINT (-73.89302653153882 40.84544890421721),Better Beginning Learning Center I/T,1910,ARTHUR AVENUE,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009910,2029470014,Bronx
POINT (-73.85930875908012 40.86017594890053),Shell's Kids Inc.,985,ASTOR AVENUE,10469,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2097375,2043600001,Bronx
POINT (-73.86313341992056 40.868269525086944),El Shaddai Pre-School,2910,BARNES AVENUE,10467,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2087291,2045500010,Bronx
POINT (-73.90091551720387 40.83909444596374),Bx Ed'L Opportunity Ctr. Ccc,1600,BATHGATE AVENUE,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009582,2029190005,Bronx
POINT (-73.89718390830834 40.84737081555835),Sharon Baptist Head Start,1925,BATHGATE AVENUE,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2011426,2030430030,Bronx
POINT (-73.89610120056886 40.84929615665398),Bathgate Day Care Ctr,1997,BATHGATE AVENUE,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2011440,2030440024,Bronx
POINT (-73.85474698750691 40.88527956256276),United Edu-Care Child Ctr.,3950,BRONXWOOD AVENUE,10466,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2064389,2048600045,Bronx
POINT (-73.83152679259788 40.83060812452324),These Our Tresures Tots,2778,BRUCKNER BOULEVARD,10465,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2079645,2055350001,Bronx
POINT (-73.82611872143288 40.83842174749692),Precious Moments Nursery School A.C. Inc.,3147,BRUCKNER BOULEVARD,10461,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2073343,2053400040,Bronx
POINT (-73.77571729714712 40.7605190766218),Happy Time Nursery,42-36,209 STREET,11361,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4138092,4062720024,Bayside
POINT (-73.7598088810355 40.74245165352434),Young Israel Windsor Pk Ns,67-45,215 STREET,11364,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4163110,4076270011,Oakland Gardens
POINT (-73.768649041871 40.776480409605085),St. Mary's Hospital&Children,29-01,216 STREET,11360,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4134830,4060590001,Bayside
POINT (-73.73828464522066 40.65551188586958),Our Little Angels Day Care,147-65,249 STREET,11422,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4289717,4136400001,Rosedale
POINT (-73.93178795727158 40.76296999457912),Queensview Nursry&Kindergarten,21-36,33 ROAD,11106,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4430866,4005570003,Astoria
POINT (-73.95344641323751 40.66235131306238),Little Red Riding Hood Corp.,425,ROGERS AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3035017,3013200001,Brooklyn
POINT (-73.96036511557617 40.64330479208692),Get Set Kindergarten School,1919,CORTELYOU ROAD,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3118534,3051500031,Brooklyn
POINT (-73.95974064598362 40.6175459734919),Red Hat Day Care Center,1317,EAST 15 STREET,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3180962,3067440082,Brooklyn
POINT (-73.95748229455224 40.612695000137094),Children's Heimeshe Workshop,1524,EAST 17 STREET,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3181898,3067637501,Brooklyn
POINT (-73.95458563690721 40.654889978594234),Maple Leaf Academy Ii,156,CLARKSON AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3116231,3050650037,Brooklyn
POINT (-73.96459929754731 40.80930532257595),Tompkins Hall Ccc,21,CLAREMONT AVENUE,10027,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1059819,1019900010,New York
POINT (-73.85339753517079 40.841015443347985),Archdiocese St. Raymond's Hs,1725,CASTLE HILL AVENUE,10462,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2041260,2039580140,Bronx
POINT (-73.8275989268471 40.87747920826865),Goose Bay 5,100,DREISER LOOP,10475,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2096814,2051410120,Bronx
POINT (-73.83073470008868 40.89094990454966),Astor-Lawrence F. Hickey Center,4010,DYRE AVENUE,10466,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2067131,2049700010,Bronx
