the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-74.07755865739367 40.64326277252732),Staten Island Children's Council Elc,120,STUYVESANT PLACE,10301,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5000084,5000080060,Staten Island
POINT (-74.15167796424373 40.567279208874524),The Tanglewood School,15,TANGLEWOOD DRIVE,10308,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5061034,5045000015,Staten Island
POINT (-73.96417654502882 40.71360389709662),Builders For Family & Youth,288,BERRY STREET,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3063067,3024160001,Brooklyn
POINT (-73.94238383387042 40.69957946563429),Woodhull Medical&Mental Hlth Ctr.,760,BROADWAY,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3048341,3017230001,Brooklyn
POINT (-73.91705196994839 40.68929020400062),The Salvation Army Bushwick Dcc,1151,BUSHWICK AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3077163,3033740001,Brooklyn
POINT (-73.94833611193869 40.632058898089454),S.C.C. Playcare Center At Hillel,2901,CAMPUS ROAD,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3205890,3075570118,Brooklyn
POINT (-73.91940892757367 40.695221253085286),Bushwick United Hs,331,CENTRAL AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3075906,3033150001,Brooklyn
POINT (-73.982432500543 40.67344594546583),Kids On Fifth Inc Pre-Sch/Children's Workshop Of 5th Ave. Pre-Sch,295,5 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3339178,3009700002,Brooklyn
POINT (-74.00767942950841 40.634104057888266),Star America Inc.,880,60 STREET,11220,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3347466,3057147501,Brooklyn
POINT (-73.80374872585928 40.749973250323094),Tie My Shoes Inc.,163-15,OAK AVENUE,11358,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4124168,4054930001,Flushing
POINT (-73.78292987477002 40.742503315177245),New Highland Elem Sch,193-10,PECK AVENUE,11365,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4128586,4056970001,Fresh Meadows
POINT (-73.84750299249332 40.721643140043206),Forest Hills Jewish Ctr,106-06,QUEENS BOULEVARD,11375,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4077479,4032370040,Forest Hills
POINT (-73.76326466302325 40.689006237975555),Human Resources Center Of St. Albans Hs,118-46,RIVERTON STREET,11412,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4268949,4124490048,Saint Albans
POINT (-73.8257902139601 40.75712480959111),A Rum Nursery School,140-30,SANFORD AVENUE,11355,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4443484,4051800022,Flushing
POINT (-73.81599798046408 40.75980002551435),Lutheran School Of Flushing & Bayside,147-32,SANFORD AVENUE,11355,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4121327,4053770025,Flushing
POINT (-73.82489283734046 40.582016812782705),Dayton Towers West Playgroup,105-00,SHORE FRONT PARKWAY,11694,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4445259,4161750001,Rockaway Park
POINT (-73.7349487377551 40.718174235439875),Queens Village Day School Annex #2,96-07,SPRINGFIELD BOULEVARD,11429,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4231214,4107890248,Queens Village
POINT (-73.83900689444911 40.775084582027),Tutor Time Learning Center Pre-School,25-56,ULMER STREET,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,4042730060,Flushing
POINT (-73.85428448650782 40.737368895523325),Apple Montessori School Inc.,59-38,XENIA STREET,11368,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4048154,4019560047,Corona
POINT (-74.18364245399167 40.565785192932964),Jewish Community Center Of Staten Island,1297,ARTHUR KILL ROAD,10312,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5077603,5059000105,Staten Island
POINT (-74.21796644483945 40.54034092829808),Friends Pre-School,610,BLOOMINGDALE ROAD,10309,http://www.nyc.gov/html/doh/html/dc/dc.shtml,5086672,5070910001,Staten Island
POINT (-73.98080455429393 40.67219545066635),Mission For Today World Of Children,298,6 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3020951,3009750039,Brooklyn
POINT (-73.9861024187908 40.6658391834176),Early Sprouts,506,6 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3023223,3010290045,Brooklyn
POINT (-73.99072245241987 40.66011684054533),Avalon Academy Preparatory,695,6 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3017422,3008920001,Brooklyn
POINT (-74.02646265397604 40.6265633148569),Treasure Island,405,81 STREET,11209,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3328847,3059890001,Brooklyn
POINT (-73.98438020703881 40.66853776312512),Prospect Park Ymca Ecc,357,9 STREET,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3022136,3010057502,Brooklyn
POINT (-73.93925675590924 40.67401016298337),196 Albany Avenue Dcc,196,ALBANY AVENUE,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3031082,3012300044,Brooklyn
POINT (-73.91374124598649 40.653690660337034),Hyatt Nurturing Tree,9522,AVENUE A,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3105105,3047550048,Brooklyn
POINT (-73.91420289258001 40.65059487887891),Avenue B Christian Academy Infant,9214,AVENUE B,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3228231,3081100036,Brooklyn
POINT (-73.94287634942154 40.839729149908564),The Nursery Infant/Toddler Center,130,FT WASHINGTON AVENUE,10032,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063376,1021370168,New York
POINT (-74.01093491814592 40.71517756502667),The Park Pre-Sch,275,GREENWICH STREET,10007,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1081076,1001327501,New York
POINT (-73.90600849225275 40.86202118361688),Archdiocese St.Nicholas Tolentine Hs,2331,UNIVERSITY AVENUE,10468,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2095380,2032180035,Bronx
POINT (-73.90600849225275 40.86202118361688),Little Angels Hs,2331,UNIVERSITY AVENUE,10468,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2095380,2032180035,Bronx
POINT (-73.91566487474613 40.88014985407936),Yearling Nursery School,604,WEST 227 STREET,10463,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2083272,2057250763,Bronx
POINT (-73.86624143538695 40.8761726812785),Victory Day Care Ctr,3440,WHITE PLAINS ROAD,10467,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2093518,2046290050,Bronx
POINT (-73.85848579820141 40.89076693118062),Susan E. Wagner Day School,4102,WHITE PLAINS ROAD,10466,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2063602,2048430034,Bronx
POINT (-73.85428329191124 40.8544170916835),Stepping Up Nursery School,2000,WILLIAMSBRIDGE ROAD,10461,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2049198,2043070027,Bronx
POINT (-74.00238972025748 40.62793337852307),Bayridge Montessori School,6301,12 AVENUE,11219,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3345686,3057390001,Brooklyn
POINT (-73.9875950719127 40.61454347438122),Little Treasures Dc,6803,20 AVENUE,11204,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3135073,3055790009,Brooklyn
POINT (-73.98595766079133 40.63785527269065),West Cop/Project Social Core Hs,1377,42 STREET,11219,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3135754,3055940046,Brooklyn
POINT (-73.924449178366 40.84157085689584),Partners With Parents D.C.C.,1360,OGDEN AVENUE,10452,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2003376,2025220043,Bronx
POINT (-73.89195830819398 40.88410180577475),Amalgamated Nursery School,3980,ORLOFF AVENUE,10463,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2015481,2032520276,Bronx
POINT (-73.86062554586373 40.8565374497695),Bronx House Jcc,990,PELHAM PARKWAY SOUTH,10462,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2049591,2043280001,Bronx
POINT (-73.89715374019471 40.8274541837803),Bronx Organization For Learning Disabled Of Nyc Inc.,1180,REV JAMES POLITE AVENUE,10459,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2005276,2026920014,Bronx
POINT (-73.9215650891818 40.834655189181184),Volunteers Of America,1166,RIVER AVENUE,10452,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2002995,2024880012,Bronx
POINT (-73.88007019012606 40.874303189848426),Mosholu Montefiore Community Center,3130,ROCHAMBEAU AVENUE,10467,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2017998,2033350060,Bronx
POINT (-73.91912458113305 40.805464609057346),East Side House Settlement Hs,201,ST ANN'S AVENUE,10454,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2090986,2022630019,Bronx
POINT (-73.92963345613362 40.83365390065085),Promesa Multicultural,1020,SUMMIT AVENUE,10452,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2003457,2025250007,Bronx
POINT (-73.82279060451751 40.82048412105955),Throggs Neck Ccc,461,SWINTON AVENUE,10465,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2093888,2055820001,Bronx
POINT (-73.91325728988477 40.844372610301896),Highbridge Advisory Ecc,1594,TOWNSEND AVENUE,10452,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2103870,2028470041,Bronx
POINT (-73.90964378343973 40.857950321485205),Pius Xii University Heights Day Care,2167,UNIVERSITY AVENUE,10453,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2014731,2032170060,Bronx
POINT (-73.7686947460493 40.663601707774596),First Star Day Care Learning Center,145-88,GUY R BREWER BOULEVARD,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4448951,4133100051,Jamaica
POINT (-73.77477216377454 40.71458547950076),Early Sunrise Preschool&Kindergarten Ii,187-10,HILLSIDE AVENUE,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4212872,4099350033,Jamaica
POINT (-73.81540202650893 40.702314500052005),Easy Learning Pre-School Ii,137-36,JAMAICA AVENUE,11435,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4213653,4099700059,Jamaica
POINT (-73.77027209164982 40.71084014188716),Little Red Wagon,188-06,JAMAICA AVENUE,11423,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4310705,4108160001,Hollis
POINT (-73.76643296388863 40.713520672717664),Hollis Community Service Center Inc.,193-25,JAMAICA AVENUE,11423,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4222293,4104580017,Hollis
POINT (-73.73656942751819 40.71779027761879),Jen - Lyn's Day Care/Kindergarten,218-14,JAMAICA AVENUE,11428,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4310702,4107710017,Queens Village
POINT (-73.8011141308909 40.70264885995496),Jamaica Kids Pre-School,1,JAMAICA CENTER PLAZA,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4315253,4100970020,Jamaica
POINT (-73.86642178379402 40.73732915145438),Montessori School Of Ny Inc.,55-30,JUNCTION BOULEVARD,11373,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4047068,4019010026,Elmhurst
POINT (-73.73592169472984 40.69407407148536),Juliasa Nursery Sch &Kgn,224-11,LINDEN BOULEVARD,11411,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4244483,4113250001,Cambria Heights
POINT (-73.72328158004936 40.76086029274174),Samuel Field Ym-Ywha Nursery School,58-20,LITTLE NECK PARKWAY,11362,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4173029,4083520051,Little Neck
POINT (-73.82171365162607 40.727509914105674),Positive Beginnings Inc.,71-25,MAIN STREET,11367,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4144021,4066580003,Flushing
POINT (-73.78936408814282 40.716769184335625),"All My Children Dc, Inc/Nursery",175-44,MAYFIELD ROAD,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4211404,4098900020,Jamaica
POINT (-73.77607933934351 40.722026684478166),Temple Israel Of Jamaica Pre-Sch,188-15,MCLAUGHLIN AVENUE,11423,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4223840,4105060074,Hollis
POINT (-73.74195537792905 40.676884294500915),Tracy's Day Care Center,228-01,MERRICK BOULEVARD,11413,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4448941,4129670021,Springfield Gardens
POINT (-74.00418409719887 40.71545931151772),Fed Kids Ccc I/T,26,FEDERAL PLAZA,10007,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1001674,1001560050,New York
POINT (-73.90859667145513 40.89596534369569),Riverdale Presbyterian Church Nursery School,4765,HENRY HUDSON PARKWAY,10471,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2087605,2059120013,Bronx
POINT (-73.9692647169251 40.76494082536781),The Browning School,52,EAST 62 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1040857,1013760042,New York
POINT (-73.965775054785 40.769602483457874),Episcopal School In The City Of Ny,35,EAST 69 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1041308,1013840031,New York
POINT (-73.954950518757 40.76606383760735),Bright Horizon Children Center At New York Hospital,435,EAST 70 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1045818,1014650021,New York
POINT (-73.9576706262847 40.77249030667422),The Birch Wathen Lenox School,210,EAST 77 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1044089,1014310041,New York
POINT (-73.9690257175997 40.76281531479545),The Lighthouse Cdc,111,EAST 59 STREET,10022,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1041901,1013940005,New York
POINT (-73.90595655336122 40.850189236679064),Mott Haven Academy /Eleanor James Pre-Sch,1925,GRAND CONCOURSE,10453,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2086655,2028080021,Bronx
POINT (-73.9425878841732 40.786854850070895),Addie Mae Collins Community Service Hs,345,EAST 101 STREET,10029,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1079340,1016730006,New York
POINT (-73.9513613949413 40.793097049632564),Boys Harbor I/T Program,1,EAST 104 STREET,10029,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1051499,1016100001,New York
POINT (-73.7485521544934 40.70060814156788),Stepping Stone Pre-School,114-28,FRANCIS LEWIS BOULEVARD,11411,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4236999,4110230038,Cambria Heights
POINT (-73.7485521544934 40.70060814156788),Stepping Stone Pre-School & Kindergarten Iv,114-36,FRANCIS LEWIS BOULEVARD,11411,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4236999,4110230038,Cambria Heights
POINT (-73.76539301344476 40.72469718586432),The Learning Tree,86-28,FRANCIS LEWIS BOULEVARD,11427,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4224335,4105290013,Queens Village
POINT (-73.93786296253501 40.8080783581654),The Children's Storefront,57,EAST 129 STREET,10035,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1054236,1017540029,New York
POINT (-73.98897574858948 40.733382276677744),Bank Street Hs,113,EAST 13 STREET,10003,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1084305,1005590055,New York
POINT (-73.98737007573573 40.73491095641174),"Beginnings, A Toddler Program Ltd",130,EAST 16 STREET,10003,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1017811,1008710055,New York
POINT (-73.97696292147931 40.73718921341202),Vets Kids Inc.,423,EAST 23 STREET,10010,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1081691,1009550005,New York
POINT (-73.80351658604411 40.719106382978104),Love Peace & Joy,164-04,GOETHALS AVENUE,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4152349,4070380037,Jamaica
POINT (-73.80351658604411 40.719106382978104),Kids Circle Day Care Center,164-04,GOETHALS AVENUE,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4152349,4070380037,Jamaica
POINT (-73.817193942929 40.71548292403725),Iras's Parkway Toddlers Program,141-20,GRAND CENTRAL PARKWAY,11435,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4143650,4066390016,Jamaica
POINT (-73.85675197645311 40.8423085281996),I.A.H.D. St. Mary's School,2213,EAST TREMONT AVENUE,10462,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2043258,2040420247,Bronx
POINT (-73.84442647007994 40.891504814207764),Little Stars School Inc.,4063,EDSON AVENUE,10466,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2067475,2049800066,Bronx
POINT (-73.92029459140849 40.83280610889013),Mid Bronx Ccrp Hs,1125,GRAND CONCOURSE,10452,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2002893,2024720034,Bronx
POINT (-73.81399497315229 40.70872387545923),Briarwood Ecc,139-76,85 DRIVE,11435,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4440741,4097100037,Jamaica
POINT (-73.79350071446343 40.70446519587637),Clifford Glover Dcc/Starlight Dcc,165-15,ARCHER AVENUE,11433,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4216225,4101550029,Jamaica
POINT (-73.81558370719046 40.77175131849088),The Corner School,150-03,BAYSIDE AVENUE,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4109019,4048230005,Flushing
POINT (-73.86378395080509 40.72904765900025),Red Apple Child Development Center,63-47,BOOTH STREET,11374,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4072109,4030817501,Rego Park
POINT (-73.87365917296026 40.74670249224003),Children's Big Apple Nursery&Kindergarten Ii,41-26,CASE STREET,11373,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4039116,4015650021,Elmhurst
POINT (-73.81272116171259 40.79167506896068),Precious Moments Nursery School I/T,11-02,CLINTONVILLE STREET,11357,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4102661,4045160027,Whitestone
POINT (-73.81149806710103 40.79010166123662),Pee Wee Folks,12-45,CLINTONVILLE STREET,11357,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4102995,4045300018,Whitestone
POINT (-73.82577048221147 40.754077389250014),Red Apple Child Development Center,42-31,COLDEN STREET,11355,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4450803,4051377503,Flushing
POINT (-73.84527497776229 40.88590035489411),Susan E. Wagner Hs,1150,EAST 229 STREET,10466,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2094178,2049050001,Bronx
POINT (-73.92693298009557 40.64979970746206),Yeled V' Yalda Hs,407,EAST 53 STREET,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3103944,3047250063,Brooklyn
POINT (-73.9183546768229 40.65724563664413),Gayle Academy For Children Inc.,409,EAST 95 STREET,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3101853,3046700015,Brooklyn
POINT (-73.91613204807986 40.65464558126576),Paradise Dcc,528,EAST 95 STREET,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3103534,3047150048,Brooklyn
POINT (-73.96804885696753 40.6733900456594),Union Temple Preschool,17,EASTERN PARKWAY,11238,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3259310,3011720006,Brooklyn
POINT (-73.94579008246141 40.670088309027605),Educational Institute Oholei Torah,667,EASTERN PARKWAY,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3032753,3012630044,Brooklyn
POINT (-73.95805130851609 40.643104104907756),Fiernande Valme Ministries,1120,FLATBUSH AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3118839,3051640022,Brooklyn
POINT (-73.93757443868996 40.61953689547387),Rainbow Dcc,3844,FLATLANDS AVENUE,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3219248,3078580046,Brooklyn
POINT (-74.00113342624415 40.635643639767906),United Talmudical Academy Hs,5411,FORT HAMILTON PARKWAY,11219,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3139246,3056740006,Brooklyn
POINT (-73.94753639168677 40.63422279376934),"Initial Steps Child Development Center, Inc.",3003,GLENWOOD ROAD,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3113943,3050050009,Brooklyn
POINT (-73.98224402442492 40.68864282108697),Hanover Place Child Care Center Llc,15,HANOVER PLACE,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3000462,3001610003,Brooklyn
POINT (-73.95251803995738 40.782935706047674),92nd St. Y Nursery School,1395,LEXINGTON AVENUE,10128,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1048310,1015200050,New York
POINT (-73.97127046844936 40.75719292351785),Children First At 575 Lexington Ave,575,LEXINGTON AVENUE,10022,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1036461,1013060023,New York
POINT (-73.99992931760687 40.717319348932),Chung Pak Day Care Ctr,125,WALKER STREET,10013,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1084583,1001980126,New York
POINT (-73.84708689960506 40.728710315673766),Central Queens Ym&Ywha,67-09,108 STREET,11375,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4051865,4021760001,Forest Hills
POINT (-73.83327763619006 40.69563336865658),St. Paul's Nursery School,89-19,114 STREET,11418,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4195726,4093220045,Richmond Hill
POINT (-73.940405146426 40.75988457461035),Joseph Di Marco Ccc,36-49,11 STREET,11106,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4439169,4003520001,Astoria
POINT (-73.80103455303336 40.71006416701783),Bright Beginning I/T,86-25,162 STREET,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4209097,4097730001,Jamaica
POINT (-73.80463185499998 40.725992886987655),Little Friends House Ii,75-41,164 STREET,11366,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4150801,4069670028,Fresh Meadows
POINT (-73.79779129614722 40.70963249089346),Ideal Montessori,87-41,165 STREET,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4210430,4098370021,Jamaica
POINT (-73.79264110090587 40.705814471056556),Bessie & Nora's Place,92-12,168 STREET,11433,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4216250,4101560017,Jamaica
POINT (-73.75570797230694 40.70614649904793),Blanche Comm Prog. Dcc#1,109-60,202 STREET,11412,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4234212,4109410206,Saint Albans
POINT (-73.92623386257496 40.68278784700673),"Bedford Stuyvesant Ecdc, Inc./Upk",506,MCDONOUGH STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3332663,3016770041,Brooklyn
POINT (-73.99547039948206 40.63287347836644),Ohr Hayeled,5316,NEW UTRECHT AVENUE,11219,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3138988,3056690034,Brooklyn
POINT (-73.961449782352 40.65443308791983),Happy Child Day Care I/T,353,OCEAN AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3115923,3050547501,Brooklyn
POINT (-73.95919267970164 40.64235376964868),Rat's Playhouse Wkshp Inc.,835,OCEAN AVENUE,11226,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3118824,3051630048,Brooklyn
POINT (-73.96902688907146 40.61320801013297),Keshet Learning Center,1454,OCEAN PARKWAY,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3173774,3065870033,Brooklyn
POINT (-73.96547129047765 40.602324404576315),Sephardic Community Early Childhood,1901,OCEAN PARKWAY,11223,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3190468,3070880001,Brooklyn
POINT (-73.98217932667471 40.69281189706851),Stanley S. Lamm Institute Early Childhood Center,147,PRINCE STREET,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3058261,3020620006,Brooklyn
POINT (-73.94895713591573 40.673979306044025),Garden Of Learning,834,PROSPECT PLACE,11216,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3031237,3012340018,Brooklyn
POINT (-73.92266323067011 40.65150230990465),Our Children's Learning Center,5735,KINGS HIGHWAY,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3323100,3047050022,Brooklyn
POINT (-73.94184206142869 40.670215501388064),Magic Kingdom Nur Sch,275,KINGSTON AVENUE,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3032810,3012650011,Brooklyn
POINT (-73.93542544884494 40.685942073929965),Cornerstone Day Care Ctr,289,LEWIS AVENUE,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3045189,3016450076,Brooklyn
POINT (-73.93622684323432 40.6950235187091),Vernon Avenue Children's School Llc/Metropolitan Child Svcs,75,LEWIS AVENUE,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3043046,3015920001,Brooklyn
POINT (-74.00444043987729 40.74087517439251),Chelsea Day School,345,WEST 14 STREET,10014,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1013007,1007380010,New York
POINT (-73.93647597893893 40.847309680059496),Hacer Parents In Action,611,WEST 177 STREET,10033,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063546,1021440029,New York
POINT (-73.99687821409998 40.739640749266975),Mcburney Ymca Earlychildhood Ecc,122,WEST 17 STREET,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1014587,1007920050,New York
POINT (-73.99433323398881 40.75721213267704),Plaza Head Start,410,WEST 40 STREET,10018,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1013005,1007370043,New York
POINT (-73.98010296335025 40.77943727185543),The Calhoun Lower School,160,WEST 74 STREET,10023,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1081029,1011450057,New York
POINT (-73.88295907122244 40.64592914123988),Labor & Industry For Education Head Start,671,LOUISIANA AVENUE,11239,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3339160,3044520080,Brooklyn
POINT (-73.95580817145999 40.70037271525977),West Cop/Project Social,40,LYNCH STREET,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3335347,3022350055,Brooklyn
POINT (-73.97867273211835 40.64015627600278),Yeled V'Yalda Early Head Start,571,MCDONALD AVENUE,11218,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3126000,3053700089,Brooklyn
POINT (-73.9855838574072 40.74274873519386),The Children's Center At N.Y. Life,51,MADISON AVENUE,10010,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1016880,1008560024,New York
POINT (-73.99477659425142 40.711016486870996),Hamilton Madison House Hs,77,MARKET STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077591,1002530001,New York
POINT (-73.9763657804763 40.754082070447986),The Childrens Center At 200 Park I/T,200,PARK AVENUE,10017,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1085735,1012809010,New York
POINT (-73.97149260411541 40.75899787340168),The Citigroup Children's Center At 399 Park I/T,399,PARK AVENUE,10022,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1071457,1013087502,New York
POINT (-74.00972912032397 40.70772302283015),J.P. Morgan Chase Back-Up Ccc,20,PINE STREET,10005,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1001022,1000440008,New York
POINT (-74.00178694124499 40.71217863396383),Finest Care Ccc,1,POLICE PLAZA,10038,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1079143,1001190001,New York
POINT (-73.9484120121279 40.76402392632378),Roosevelt Island Day Nursery,4,RIVER ROAD,10044,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1083217,1013730001,New York
POINT (-73.97945104266503 40.71757090059383),Dewitt Reformed Church Hs,280,RIVINGTON STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1004060,1003230073,New York
POINT (-74.01721541138264 40.70962556324989),Battery Park City Day Nursery,215,SOUTH END AVENUE,10280,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1000055,1000160080,New York
